BFS;FREQUENCY;SUM_Shape_Length
921;67;8674.944114
922;42;3681.340913
923;26;3347.654942
924;31;4217.56762
925;16;2865.990907
927;35;3661.92556
928;117;12553.98037
929;2;68.885792
931;50;7906.209591
932;30;6028.470224
935;37;5419.91161
936;26;2623.826963
938;158;27445.39963
939;177;11177.09826
941;67;7002.168559
942;329;20522.88739
943;32;3621.112815
944;102;11814.63478
945;55;6852.04446
946;6;741.016075
947;62;6944.797759
948;53;5513.060317
951;46;7092.762373
952;49;6291.641808
953;48;6294.92601
954;99;9189.579146
955;162;18238.04935
956;75;6394.450976
957;192;20943.34723
958;34;4782.926322
960;47;6188.48624
971;31;2684.973435
972;7;954.034102
973;37;3544.098684
976;18;2943.206566
977;34;3090.357453
979;47;3322.333537
980;16;1451.064268
981;64;8168.678919
982;44;3670.067141
983;26;2659.19511
985;41;5969.131756
988;28;4037.575524
989;1;84.218005
990;22;2758.944339
991;6;277.864879
992;58;4333.988204
995;44;3230.109606
1001;51;7300.29728
1002;174;29870.94169
1004;177;24241.52966
1005;85;11484.79272
1007;69;14951.27977
1008;162;20542.43192
1009;96;14813.02591
1010;316;45582.32705
1021;37;4953.201528
1023;83;11965.59754
1024;324;34309.9029
1025;24;2372.313857
1026;70;16846.23776
1030;152;19367.33348
1031;75;9466.080584
1032;78;11202.97854
1033;45;7379.457037
1037;66;10432.07195
1039;111;14248.83427
1040;136;13289.77102
1041;49;7179.467312
1051;24;3839.614694
1052;29;5504.195512
1053;3;168.264941
1054;62;4194.604574
1055;19;1803.520947
1056;21;2905.905841
1057;21;2480.804132
1058;199;17421.91449
1059;79;7975.092585
1061;356;28737.64871
1062;129;15797.0967
1063;54;5307.500048
1064;30;2615.512904
1065;60;5421.635094
1067;15;2064.170598
1068;37;3960.579853
1069;61;6160.10144
1081;228;28323.76119
1082;6;1345.551286
1083;97;14434.44325
1084;48;6155.699013
1085;24;3004.095316
1086;60;9953.654165
1088;52;8950.709794
1089;86;8570.99129
1091;38;4907.954873
1093;116;13311.66391
1094;17;2976.428625
1095;12;2420.113164
1097;1;200.124654
1098;204;29669.55893
1099;68;6925.934788
1100;18;3104.085157
1102;158;14400.33983
1103;165;11322.44797
1104;43;8761.269259
1107;46;2955.491561
1121;63;8184.380841
1122;11;1279.829578
1123;29;2501.128185
1125;100;14843.61755
1127;12;3025.443909
1128;99;14500.8351
1129;30;3431.249886
1131;48;6334.827863
1132;92;19310.77707
1135;12;4244.665533
1136;65;14244.51857
1137;38;2901.998252
1139;92;9863.896141
1140;34;3561.266794
1142;29;3438.089032
1143;36;4854.51071
1145;78;11013.32855
1147;2;51.265453
1150;137;17088.77381
1151;265;37444.93993
1201;95;5532.946353
1202;135;18149.45268
1203;13;1926.508304
1205;74;4993.905929
1206;73;9940.588178
1207;83;8381.67464
1208;60;6887.189031
1209;82;9858.623019
1210;81;11972.69932
1212;62;14291.98684
1213;22;4798.829845
1214;20;1796.076584
1216;38;2701.994233
1217;62;5363.247031
1218;109;17647.68641
1219;79;13793.54854
1220;54;5982.001793
1301;320;37579.72058
1311;34;6041.185703
1321;109;12450.58912
1322;245;20111.70145
1323;53;3248.203968
1331;162;14881.45946
1341;114;8602.851939
1342;46;4790.874123
1344;89;3717.438757
1345;18;3996.346051
1346;80;10217.32415
1347;106;17216.32372
1348;30;8329.90728
1349;83;10474.06744
1362;151;14935.54782
1363;4;352.526537
1364;150;10056.11315
1365;6;704.205391
1366;32;3187.804461
1367;166;26609.08468
1368;42;5322.803769
1370;55;6066.991518
1371;27;4087.095926
1372;256;27786.2644
1373;19;3239.121581
1375;70;5897.560342
1401;168;21128.40324
1402;60;10118.54746
1403;193;26365.20456
1404;79;6699.603538
1405;132;18703.48459
1406;170;15461.55501
1407;364;39152.74423
1501;14;1138.671952
1502;46;6229.322654
1503;39;3169.239613
1505;3;125.489528
1506;46;8450.68563
1507;79;5420.892702
1508;32;4272.232419
1509;155;11735.4265
1510;44;4499.855538
1511;36;10288.18818
1630;261;26709.34565
1631;351;39087.06383
1632;188;28814.55567
1701;195;21725.6146
1702;117;11895.6638
1703;171;24407.5304
1704;40;8336.688841
1705;14;345.30102
1706;160;23449.32095
1707;154;13594.05088
1708;57;5053.284852
1709;144;14052.66036
1710;30;3359.912686
1711;246;26322.93572
2016;25;4286.461773
2022;19;1454.95772
2027;1;23.322938
2029;101;13832.97083
2043;15;1830.209063
2044;31;5601.178676
2051;24;3132.944666
2053;93;14221.51183
2054;177;15971.85856
2055;33;4770.99116
2063;25;2939.792162
2066;7;1249.982643
2068;1;2.053869
2079;12;1835.635884
2086;35;3422.873283
2087;3;669.04572
2096;74;6087.981998
2097;48;6780.834831
2099;17;3642.394953
2102;31;3923.032093
2113;13;3382.510587
2114;25;3164.2219
2115;23;3361.830821
2117;42;8070.06241
2121;70;16076.29445
2122;54;5577.148919
2123;31;2996.240221
2124;71;9882.389409
2125;76;7944.512881
2129;30;3270.753103
2131;28;3164.877078
2134;30;3643.465307
2135;69;6769.799985
2137;27;2905.632058
2138;88;11605.73978
2140;23;2287.854466
2143;28;3038.805622
2145;23;2066.817061
2147;35;3585.641354
2149;38;3441.0673
2152;48;5701.587591
2153;6;676.379741
2155;45;5769.868378
2160;30;2791.453124
2162;21;2585.166063
2163;48;6047.904999
2174;9;1558.59632
2175;25;1620.729687
2183;67;6510.940238
2194;10;1598.229015
2196;196;15522.85237
2197;46;3647.003463
2198;12;1693.706224
2206;115;15261.52178
2208;6;414.267494
2211;2;391.724275
